ID_Cliente,Nombre_Empresa,País,Contacto,Correo,Sector,Volumen_Interesado_kg
bdd640fb-0667-4ad1-9c80-317fa3b1799d,House and Sons,Uruguay,Mr. Michael Yates,ymorgan@adams.org,Distribuidor,960
23b8c1e9-3924-46de-beb1-3b9046685257,Russell Group,Bolivia,Sara Calhoun,cgrimes@washington.biz,Mayorista,3872
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Hancock Inc,Argentina,Ms. Susan Vargas,mcantu@allen.biz,Retail,3192
972a8469-1641-4f82-8b9d-2434e465e150,Gray Group,Venezuela,Angela Patterson,floresthomas@hughes-alvarado.com,Distribuidor,566
17fc695a-07a0-4a6e-8822-e8f36c031199,House-Glover,Colombia,Catherine Green,ihanna@sanford.info,Retail,4526
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Henderson-Bernard,Chile,Jesse Rogers,foxstephen@thomas.com,Mayorista,3544
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,"Stanley, Tucker and Lee",Chile,Diana Bean,qharrington@hanson-sanders.com,eCommerce,3271
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Novak PLC,Brazil,Ruben Ruiz,melissa86@sims-clay.info,Mayorista,3019
47378190-96da-4dac-b2ff-5d2a386ecbe0,"Daniels, Adkins and Brown",Venezuela,Amy Crane,williamsonjimmy@mccall.biz,Retail,230
c241330b-01a9-471f-9e8a-774bcf36d58b,"Woods, Calhoun and Schmidt",Bolivia,Barry Bernard,hodgesjane@wallace.com,Distribuidor,1785
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Yu Inc,Uruguay,Andre Wright,williamslaura@howard-jordan.com,Mayorista,869
371ecd7b-27cd-4130-8722-9389571aa876,Jones Inc,Venezuela,Lisa Allen,yknight@jackson.org,Distribuidor,2491
1a2a73ed-562b-4f79-8374-59eef50bea63,"Hensley, Powell and David",Peru,Brian Gould,pharvey@durham-thomas.info,eCommerce,2533
5be6128e-18c2-4797-a142-ea7d17be3111,"Sanchez, Wheeler and Harvey",Bolivia,David Wood,steve07@byrd-moore.info,eCommerce,1284
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Sandoval-Cunningham,Suriname,Tracey Higgins,vanessa46@wright.biz,eCommerce,4655
759cde66-bacf-43d0-8b1f-9163ce9ff57f,Donovan-Harris,Guyana,Carla Collins,yrodriguez@howard.com,Distribuidor,3485
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,"Edwards, Baker and Anderson",Argentina,Tanya Johnston,khill@osborne.info,Mayorista,4217
4b0dbb41-8d52-48f1-942c-3fe860e7a113,"Evans, Stewart and Walton",Argentina,Jaime David,kimberly39@robinson-lee.com,Distribuidor,4943
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Smith PLC,Bolivia,Kevin Rivas,courtneyberger@williams.com,Distribuidor,3004
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,"Ferrell, Jones and Lewis",Chile,Michael Turner,christopherphillips@perry.com,Mayorista,574
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Anderson-Bailey,Chile,Renee Hogan,maria47@francis-morgan.com,eCommerce,1182
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Suarez LLC,Peru,Amanda Patel,jmccarty@dalton.biz,eCommerce,2658
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Moore-Bass,Suriname,Andrea Holland,christopher60@herrera-gibson.com,Mayorista,2147
7412b293-4729-4739-a14f-f3d719db3ad0,"Turner, Riggs and Roman",Argentina,Jason Henry,xcarson@leonard.com,Distribuidor,2847
29a3b2e9-5d65-4441-9588-42dea2bc372f,"Smith, Montoya and Evans",Peru,Jack Snow,rose31@colon.biz,Distribuidor,1075
ab9099a4-35a2-40ae-9af3-05535ec42e08,"Garcia, Humphrey and Baker",Chile,Christian Thompson,taylorsophia@ferrell-wilson.com,eCommerce,1906
aefcfad8-efc8-4849-b3aa-7efe4458a885,Newton and Sons,Venezuela,Marie Gilbert,paulwatson@horton.com,Retail,289
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Campbell-Clark,Uruguay,Patricia Marshall,fpena@russell.com,Retail,2834
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Harris-Walters,Venezuela,Leslie Morris,scottsampson@garcia-jennings.net,Retail,3105
451b4cf3-6123-4df7-b656-af7229d4beef,Wagner-King,Peru,Timothy Ramirez,bruce43@rush.com,Distribuidor,4758
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Davis Group,Guyana,Paul Hudson,darleneharper@williams.com,Distribuidor,1999
5304317f-af42-412f-b838-b3268e944239,Williams-Cook,Chile,Gabrielle Snyder,kristinharris@clark.com,eCommerce,1367
